BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
62.1,12.2,1.1,3050,-9,223.7
63.7,11.8,-0.1,1787,-3.8,238.3
53.6,18.3,2.9,3820,11.6,179.6
54.1,17.3,-1.4,5940,1.6,162.6
25.2,15.2,24.8,5930,41.8,53.1
59.8,17.4,1.8,4805,9.5,168.3
62.5,10.2,-0.8,2450,-7.1,228
58.1,13.2,6.7,5091,8.4,184.7
57.5,17.1,-3.3,3460,-0.5,200
73.9,18.3,-1.2,2998,-12.3,261.2
61.4,17.8,-0.9,4686,17,192.3
63.1,6.4,-2.6,1420,-13.7,209.6
60.6,11.4,5.6,4689,2,197.4
61.9,11.8,1.2,3910,-5.1,207.9
60.3,16.6,-3.1,3051,-2.9,213.1
20.9,32.9,4.9,2320,5.7,51.2
64.5,10.5,3.1,1892,-13.1,238.3
47.5,15.8,8.4,2830,8.8,163.6
62.4,11.2,-1.1,2587,-22.8,223.2
34.1,23.6,1.5,4030,5.9,97.7
11.5,31.6,-3.1,3050,1,17.5
15.4,11,3.8,1600,11.9,24.9
65.2,11.1,1.8,3330,-7.5,231.7
60,10.3,-6.4,2750,-17.3,210.4
57.8,15.1,3.5,3350,5.6,201.9
31.2,42.8,-17.1,6870,-13.8,69.6
70.4,13.7,5.4,2920,15.5,256.2
63.8,15.5,1.3,2600,2.4,234.8
65.4,12.9,1,2853,-13.9,230.7
42.8,31.3,1.7,7270,0.2,112.3
75.8,15.7,-2.3,2490,-9.5,280.6
66,13.3,3,2790,6.6,244.5
73.4,16.4,-0.4,2630,-9.6,263.6
51.9,12.1,-5.5,4170,-21.6,167
68.5,12.6,0.8,2270,-11.7,257.8
46.5,18.6,-5.1,7402,13,129
71.9,12.7,-0.7,2622,-9.3,267.9
67.9,14,2.1,2434,0.5,257.6
67.6,4.7,1.2,1230,-30.6,202.6
43,25.5,0,5710,-7.5,124.6
31.7,21.1,2.2,3850,7.6,90.6
62.7,13.8,9.3,3280,2.1,224.3
71.4,12.3,0,1830,-11.7,275
50.8,5.5,-3,2710,-5.9,155.1
55.9,4.3,-3,2240,-19.2,163.8
58.5,16,3.4,4810,9.3,187.3
77,10.6,1.6,3335,-2.2,274.5
70,15.2,-0.6,2850,-2.8,249
56.2,11.7,2.5,3140,-1.5,195.6
66.7,8.9,4.3,1720,-10.1,244.6
27.9,35.6,15.8,3411,12.2,68.8
56.6,23.3,3,4750,3.1,171.2
48,11.7,2.5,1910,3.4,160.6
74.3,13.2,0.1,3940,-5.9,245.3
54.5,15.4,2.3,3710,-16,184.5
33.3,27.9,-8.7,7712,12.1,77.4
22,26,-2,5850,-4.2,48.2
35.1,7.6,5.4,3359,64.8,77.6
57,1.4,-8.7,3085,-66,83.4
62.4,6.8,4.7,1690,0.5,213.2
68.8,14.5,6.3,3090,4.8,249.2
66.1,11.8,0.2,2365,0.3,247.1
64.7,12.7,-2.4,2730,-21.6,235
11.5,40.9,-2.2,2920,-1.2,17
67.4,11.3,0.3,3383,2.1,232.7
63.3,8.1,0.6,1570,-59.7,186.4
